explicit_content_lyrics,language_detect,publicationDate
0.0,spanish,0000
0.0,spanish,0000
0.0,spanish,2015
0.0,spanish,2015
0.0,spanish,2014
0.0,spanish,2014
0.0,spanish,2015
2.0,english,2007
2.0,english,2007
2.0,english,2007
2.0,english,2007
2.0,english,2007
2.0,english,2007
2.0,english,2007
2.0,english,2007
2.0,english,2007
2.0,english,2007
2.0,english,2007
2.0,english,2007
2.0,english,2007
2.0,english,2007
2.0,english,2007
0.0,english,2016
2.0,english,2007
2.0,english,2007
2.0,english,2007
2.0,english,2007
2.0,english,2007
2.0,english,2007
2.0,english,2007
2.0,english,2007
2.0,english,2007
2.0,english,2006
2.0,english,2006
0.0,english,2005
0.0,english,2005
0.0,english,2005
0.0,english,2005
0.0,english,2005
0.0,english,2005
0.0,english,2005
0.0,english,2005
2.0,portuguese,2002
2.0,english,2003
0.0,english,1990
0.0,english,2003
0.0,english,2003
0.0,english,1990
0.0,english,2003
0.0,english,1990
0.0,english,2003
0.0,english,2003
0.0,english,2003
0.0,english,2008
0.0,english,2008
0.0,english,2008
0.0,english,2008
0.0,english,2008
0.0,english,2003
0.0,english,2005
0.0,english,2012
0.0,english,2012
0.0,english,2010
0.0,english,2005
0.0,english,2003
0.0,english,2011
2.0,english,2003
0.0,english,2008
0.0,english,2000
0.0,english,2000
0.0,english,2000
0.0,english,2000
0.0,english,2000
0.0,romanian,2000
0.0,english,2000
0.0,english,2000
0.0,english,2000
0.0,english,2000
0.0,english,2000
2.0,english,2006
2.0,english,2006
2.0,english,2006
2.0,english,2006
2.0,english,2006
2.0,english,2006
2.0,english,2006
3.0,english,2009
3.0,english,2009
3.0,english,2009
3.0,english,2009
3.0,english,2009
3.0,english,2009
3.0,english,2009
3.0,english,2009
3.0,english,2009
3.0,english,2009
0.0,english,2009
0.0,english,2012
0.0,english,2012
0.0,english,2012
0.0,english,2012
0.0,english,2012
0.0,english,2012
0.0,english,2012
2.0,english,2006
2.0,english,2006
2.0,english,2006
2.0,english,2006
2.0,english,2006
2.0,english,2006
2.0,english,2006
2.0,english,2006
2.0,english,2006
2.0,english,2006
2.0,english,2006
2.0,english,2006
0.0,english,0000
0.0,english,0000
0.0,english,0000
0.0,english,0000
0.0,english,0000
0.0,english,0000
0.0,english,0000
0.0,english,0000
0.0,english,0000
0.0,english,2015
6.0,english,2005
6.0,english,2005
0.0,english,2000
0.0,english,2000
0.0,romanian,2000
0.0,english,2000
0.0,english,2000
2.0,english,2006
2.0,english,2006
2.0,english,2006
2.0,english,2006
2.0,english,2006
2.0,english,2006
2.0,english,2006
2.0,english,2006
2.0,english,2006
2.0,english,2006
2.0,english,2006
2.0,english,2006
2.0,english,2006
2.0,english,2006
2.0,english,2006
2.0,english,2006
2.0,english,2006
0.0,english,2006
0.0,english,2006
0.0,english,2006
0.0,english,2006
0.0,english,2006
0.0,english,2008
0.0,english,2010
0.0,english,2010
0.0,english,2003
0.0,english,2010
0.0,english,2003
0.0,english,2010
0.0,english,2010
0.0,english,2010
0.0,english,2010
0.0,english,2010
2.0,english,2009
2.0,english,2009
2.0,english,2009
2.0,english,2009
2.0,english,2009
2.0,english,2009
2.0,english,2009
2.0,english,2009
0.0,english,2000
0.0,english,2000
0.0,english,2000
0.0,english,2000
0.0,english,2000
0.0,english,2000
0.0,english,2000
0.0,english,2000
0.0,english,2000
0.0,english,2000
2.0,english,2010
2.0,english,2010
2.0,english,2010
2.0,english,2010
2.0,english,2010
2.0,english,2009
2.0,english,2009
2.0,english,2009
2.0,english,2009
2.0,english,2012
2.0,english,2009
0.0,english,2005
0.0,english,2005
0.0,english,2006
0.0,english,2006
0.0,english,2006
0.0,english,2006
0.0,english,2006
2.0,english,0000
2.0,english,0000
2.0,english,0000
2.0,english,0000
2.0,english,0000
2.0,english,0000
2.0,english,0000
2.0,english,0000
2.0,english,0000
2.0,english,0000
0.0,english,2006
0.0,english,2006
0.0,english,2006
0.0,english,2006
0.0,english,2006
2.0,english,2014
2.0,english,2014
2.0,english,2014
2.0,english,2014
0.0,english,2006
0.0,english,2006
0.0,english,2006
0.0,english,2006
0.0,english,2006
2.0,english,2014
0.0,english,2015
0.0,english,2015
0.0,english,2015
0.0,english,2015
0.0,english,2015
2.0,english,0000
2.0,english,0000
2.0,english,0000
2.0,english,0000
2.0,english,0000
2.0,english,0000
2.0,english,0000
0.0,english,2016
0.0,english,2016
0.0,english,2016
0.0,english,0000
0.0,english,2006
0.0,english,0000
0.0,english,0000
0.0,english,0000
0.0,english,0000
0.0,english,0000
0.0,english,0000
0.0,english,0000
0.0,english,0000
0.0,english,0000
0.0,english,0000
0.0,english,0000
0.0,english,0000
0.0,english,0000
2.0,english,0000
2.0,english,0000
2.0,english,0000
2.0,english,2010
0.0,english,2014
0.0,english,2014
2.0,english,2011
0.0,english,2014
0.0,english,2006
0.0,english,2006
0.0,english,2006
2.0,english,2005
2.0,english,2008
2.0,english,2008
2.0,english,2008
2.0,english,2008
2.0,english,2008
2.0,english,2008
2.0,english,2008
2.0,english,2008
2.0,english,0000
2.0,english,0000
2.0,english,0000
2.0,english,0000
2.0,english,0000
2.0,english,0000
2.0,english,0000
2.0,english,2006
2.0,english,2008
0.0,english,2005
0.0,english,2009
2.0,english,2006
0.0,english,2007
0.0,english,2015
2.0,english,2015
2.0,english,2006
2.0,english,2006
2.0,english,2006
2.0,english,2006
1.0,english,2005
0.0,english,0000
2.0,english,0000
2.0,english,2006
2.0,english,2006
0.0,english,0000
2.0,english,2011
1.0,english,0000
2.0,english,2005
